,Listings Price Cut Perc Change,New Monthly Listings,Days on Market Perc Change,Buyer Seller Index Cross Geo,Days on Zillow,House Price Index,New Monthly Listings Perc Change,Median Sale Price Perc Change,Inventory Perc Change,Median Sale Price,Unemployment Rate,Real Per Capita Personal Income,Homes Sold,Listings Price Cut,SPY,Homes Sold Perc Change,Buyer Seller Index Cross Time,Median Value Per Square Feet,Employees Total Nonfarm,Resident Population,Days on Market,Inventory,Building Units,Sale to List Ratio,change next year,change 2 years,change 3 years,Metro name
2010,,,,7.315,115.125,131.9069616,,,,,7.7,38038.0,,14.902344284999998,0.14306958547498816,,1.26,163.08333330000002,587.3,1091.48,,,2989.0,1.087869934,1.080322424,1.1292515029999999,1.137413831,Salt Lake City
2011,0.027999999999999997,,,6.475833333,113.79166670000001,128.75662079999998,,,,,6.6,45500.0,1798.583333333333,13.639857823333333,0.024595696030906836,-0.025,0.7466666670000001,100.58333329999999,811.9,1780.605,,,10239.0,1.061932597,1.0761100590000001,1.052998853,1.039075578,Austin
2011,-0.065,,,7.0325,105.25,158.56495990000002,,-0.067,,348216.66666666674,12.2,41173.0,8312.416666666666,15.035312335,0.024595696030906836,-0.047,0.661666667,255.33333330000002,5334.6,12927.594,,,14247.0,0.945059643,0.967694952,0.994375476,0.978658606,Los Angeles
2011,-0.098,,,1.6825,144.75,159.58606709999998,,0.023,,190291.66666666663,7.6,48065.0,1763.666666666667,15.8404646175,0.024595696030906836,-0.125,0.7475,152.41666669999998,1293.9,2733.547,,,6153.0,0.913230875,0.935250635,0.9542044390000001,0.95175691,Baltimore
2011,-0.158,,,5.335833333,115.75,130.00552290000002,,-0.064,,214850.0,9.0,42936.0,1988.166666666667,16.89092585166667,0.024595696030906836,-0.034,0.6925,130.25,999.1,2262.637,,,5213.0,0.91761766,0.9584645970000001,0.978370317,0.977778472,Portland
2011,-0.109,,,4.9275,120.41666670000001,103.0939237,,-0.052000000000000005,,123433.33333333331,7.8,45106.0,1915.166666666667,16.213679010000003,0.024595696030906836,-0.08900000000000001,0.9341666670000001,85.33333333,941.4,1926.1570000000002,,,4730.0,0.918469271,0.9351219959999999,0.9553349,0.9640001970000001,Columbus
2011,-0.015,,,1.9691666669999999,142.125,115.33799450000001,,-0.064,,168858.33333333337,8.1,49394.0,1104.5833333333333,17.08639436,0.024595696030906836,-0.085,0.793333333,107.83333329999999,814.0,1561.175,,,1578.0,0.897487345,0.913476857,0.9365519290000001,0.939746345,Milwaukee
2011,-0.059000000000000004,,,3.705833333,131.4166667,88.21640659,,-0.126,,97358.33333333331,7.3,48243.0,1747.333333333333,15.100753820833333,0.024595696030906836,-0.013000000000000001,0.606666667,76.33333333,1001.1,2068.801,,,1767.0,0.887705986,0.9001055370000001,0.920806109,0.9291702759999999,Cleveland
2011,0.096,,,3.590833333,125.16666670000001,139.7168691,,,,,7.1,41869.0,1901.666666666667,12.929284831666667,0.024595696030906836,-0.06,0.739166667,76.5,871.2,2193.881,,,7127.0,0.990207871,0.994848725,0.9908617609999999,0.9895580629999999,San Antonio
2011,-0.027000000000000003,,,6.373333333,111.25,63.94910566,,,,,11.4,42399.0,6578.5,13.829258585833333,0.024595696030906836,0.032,0.614166667,57.91666667,1784.8,4291.406,,,3366.0,0.9055569459999999,0.935302154,0.9558933609999999,0.945763771,Detroit
2011,-0.025,,,1.9525,136.16666669999998,102.12697170000001,,,,,8.7,47956.0,2138.333333333333,14.327618689166668,0.024595696030906836,-0.034,0.606666667,71.75,929.1,1910.646,,,5259.0,0.990169945,0.991087143,0.9646516470000001,0.9654858140000001,Indianapolis
2011,-0.192,,,1.7083333330000001,130.625,104.35078990000001,,,,,6.3,49015.0,3452.583333333333,18.6831391175,0.024595696030906836,0.092,0.793333333,129.8333333,1790.0,3388.292,,,5148.0,0.9049938040000001,0.937321037,0.959021527,0.963413236,Minneapolis
2011,-0.371,,,7.830833332999999,94.83333333,98.46322734,,0.048,,113675.0,8.6,37567.0,9331.0,13.284090132833333,0.024595696030906836,-0.031,1.066666667,76.75,1716.8,4253.825,,,9081.0,0.9340084329999999,0.974168591,0.968957335,0.9559903240000001,Phoenix
2011,-0.063,,,4.419166667,123.5,128.42954840000002,,,,,7.8,48869.0,5599.666666666668,14.5235144875,0.024595696030906836,-0.022000000000000002,0.606666667,70.33333333,2634.5,6056.366,,,31271.0,1.00552196,1.008071554,1.019330324,1.005676526,Houston
2011,-0.033,,,6.130833332999999,118.08333329999999,115.85657739999999,,,,,7.6,45723.0,6120.333333333332,14.166892248333333,0.024595696030906836,-0.044000000000000004,0.669166667,74.33333333,3003.1,6570.598000000001,,,24827.0,1.008147747,1.012661835,1.0071349040000002,1.000359697,Dallas
2011,-0.159,,,2.834166667,133.9583333,161.0705305,,-0.126,,182825.0,7.3,43355.0,1377.666666666667,14.716235164166667,0.024595696030906836,-0.054000000000000006,0.669166667,122.0,740.2,1685.911,,,5559.0,0.9167703970000001,0.9360591309999999,0.955074,0.954005056,Virginia Beach
2011,-0.22699999999999998,,,6.79,102.58333329999999,136.2155194,,-0.032,,318933.33333333326,10.3,39851.0,2709.083333333333,16.677687934999998,0.024595696030906836,-0.019,0.723333333,216.16666669999998,1250.6,3137.3720000000003,,,5370.0,0.9394881620000001,0.963029956,0.9852307029999999,0.965913445,San Diego
2011,-0.306,,,8.73,86.91666667,109.57840690000002,,-0.076,,388458.33333333326,9.1,55685.0,3987.916666666666,12.37924065,0.024595696030906836,-0.085,1.215,300.6666667,1960.7,4395.894,,,5783.0,0.95392353,0.9916746329999999,1.028310279,1.012360511,San Francisco
2011,-0.016,,,1.310833333,147.41666669999998,152.3677843,,-0.086,,187166.66666666663,8.5,48053.0,4234.25,16.730290049999994,0.024595696030906836,0.013000000000000001,0.833333333,121.33333329999999,2706.2,5995.769,,,6979.0,0.9078178370000001,0.915941529,0.9344788829999999,0.9374011790000001,Philadelphia
2011,-0.062,,,3.99,132.6666667,123.84584879999998,,-0.042,,140216.66666666663,7.8,47957.0,1797.666666666667,13.834257543333335,0.024595696030906836,0.002,0.676666667,87.41666667,786.1,1698.28,,,5394.0,0.915808172,0.937747393,0.9588122720000001,0.96584965,Nashville
2011,-0.226,,,6.4525,109.08333329999999,106.93852220000001,,-0.003,,202908.3333333333,8.3,46620.0,3144.916666666666,15.71056676166667,0.024595696030906836,0.032,0.739166667,138.41666669999998,1214.3,2602.973,,,6673.0,0.938793867,0.966663376,0.982099108,0.987469156,Denver
2011,0.061,,,3.5466666669999998,131.4166667,133.5978959,,-0.109,,212041.66666666663,8.8,53703.0,680.0833333333334,16.112812586666667,0.024595696030906836,-0.21,2.1575,140.58333330000002,554.2,1215.979,,,1123.0,0.919639917,0.9200690029999999,0.935747509,0.9346631259999999,Hartford
2011,-0.087,,,7.099166667,112.54166670000001,104.16328929999999,,0.157,,103066.66666666669,10.0,35998.0,2858.166666666666,11.681044966916664,0.024595696030906836,-0.154,1.073333333,71.5,1005.5,2175.958,,,6505.0,0.9240568020000001,0.945782765,0.9581118809999999,0.9462717709999999,Orlando
2011,-0.20800000000000002,,,6.1575,112.41666670000001,124.29479209999998,,-0.152,,263283.33333333326,8.7,49121.0,3234.0,16.5914473125,0.024595696030906836,-0.001,0.778333333,157.66666669999998,1694.6,3499.1040000000003,,,11230.0,0.9238034140000001,0.958246018,0.9862065790000001,0.982685335,Seattle
2011,0.083,,,5.709166667000001,118.04166670000001,131.916853,,0.022000000000000002,,116483.33333333331,5.0,45393.0,1044.75,13.584364436666664,0.024595696030906836,0.085,0.645833333,72.66666667,580.1,1277.2839999999999,,,3261.0,0.9474290890000001,0.956463108,0.964267856,0.967753863,Oklahoma City
2011,0.054000000000000006,,,0.35416666700000005,178.25,150.3610147,,-0.105,,352066.66666666674,8.6,48044.0,10052.833333333334,12.5677561425,0.024595696030906836,-0.17800000000000002,1.268333333,212.33333330000002,8714.4,19724.708,,,21539.0,0.904732485,0.9103366559999999,0.936513771,0.944457964,New York
2011,0.141,,,3.636666667,132.7083333,129.8187929,,0.019,,108075.0,7.4,49335.0,2003.166666666667,13.4153356425,0.024595696030906836,-0.055999999999999994,0.81,78.0,1145.2,2360.16,,,2914.0,0.917612282,0.928661897,0.9353384,0.93815237,Pittsburgh
2011,0.027000000000000003,,,2.7391666669999997,138.95833330000002,136.8207465,,,,,9.7,44983.0,,15.975736658333336,0.024595696030906836,,0.95,149.66666669999998,544.4,1602.828,,,1178.0,0.89870466,0.910396955,0.9319874159999999,0.936866456,Providence
2011,-0.073,,,4.223333333,122.25,112.8049513,,-0.042,,127716.66666666669,8.5,50034.0,2679.0,17.62076991666667,0.024595696030906836,-0.024,0.7625,99.41666667,1296.3,2505.549,,,4407.0,0.905816101,0.923945701,0.942899356,0.9462174999999999,St. Louis
2011,-0.221,,,7.41,105.91666670000001,124.7811119,,,,,6.6,39384.0,,14.590674209166664,0.024595696030906836,,0.606666667,148.0,597.8,1106.739,,,3457.0,1.080322424,1.1292515029999999,1.137413831,1.1234182940000002,Salt Lake City
2011,-0.158,,,7.505,105.54166670000001,165.775322,,-0.066,,289350.0,6.1,52363.0,4988.0,13.955844394166665,0.024595696030906836,-0.055999999999999994,1.065833333,183.25,3023.8,5768.757,,,19657.0,0.955766461,0.966438288,0.981758758,0.975523233,Washington
2011,-0.154,,,2.16,150.625,107.737227,,-0.063,,151458.33333333337,10.6,44311.0,2117.333333333333,12.565325976666667,0.024595696030906836,-0.04,0.6225,79.0,976.5,2254.513,,,6446.0,0.897760433,0.925512888,0.9484715979999999,0.9533425999999999,Charlotte
2011,-0.033,,,7.5708333329999995,103.58333329999999,123.3538943,,-0.035,,170116.66666666663,13.0,30166.0,5459.333333333333,13.274184280833332,0.024595696030906836,-0.071,0.606666667,112.33333329999999,1155.3,4295.340999999999,,,4736.0,0.957639908,0.97633103,0.9959712470000001,0.973562385,Riverside
2011,-0.107,,,5.3675,122.66666670000001,115.5348076,,-0.035,,97291.66666666669,9.9,41479.0,3422.416666666666,14.0158623475,0.024595696030906836,-0.10400000000000001,0.614166667,72.33333333,1123.4,2828.748,,,6342.0,0.890130649,0.921343283,0.94198326,0.9361899109999999,Tampa
2011,-0.017,,,3.795,119.33333329999999,104.5539526,,,,,7.8,47051.0,1987.166666666667,16.28280633083333,0.024595696030906836,-0.03,0.6225,95.16666667,974.9,2025.319,,,3287.0,0.9752134640000001,0.9843056379999999,0.9941683170000001,0.992890112,Kansas City
2011,-0.055999999999999994,,,2.806666667,128.4583333,86.04214314,,,,95633.33333333331,9.9,43604.0,9094.75,14.545745615,0.024595696030906836,0.6920000000000001,0.645833333,64.25,2311.7,5366.2519999999995,,,8634.0,0.8850098390000001,0.930547473,0.95755099,0.9560812240000001,Atlanta
2011,-0.135,,,2.710833333,133.2083333,133.8488007,,,,,8.2,44161.0,,16.775136338333336,0.024595696030906836,,1.696666667,82.41666667,540.1,1135.4560000000001,,,1315.0,0.930600005,0.93197916,0.9462180459999999,0.950052742,Buffalo
2011,-0.026000000000000002,,,5.5875,117.16666670000001,125.62125139999999,,-0.02,,302975.0,8.1,55575.0,3306.25,16.59847472666667,0.024595696030906836,-0.122,0.95,191.58333330000002,2462.0,4609.467000000001,,,6139.0,0.929711324,0.943271649,0.963214336,0.969221523,Boston
2011,-0.115,,,3.314166667,132.8333333,134.55783190000002,,-0.035,,170525.0,7.3,48087.0,947.0833333333335,14.0035526725,0.024595696030906836,-0.027999999999999997,0.645833333,104.16666670000001,600.1,1218.638,,,2709.0,0.911035398,0.93423663,0.95570565,0.9614489159999999,Richmond
2011,0.057999999999999996,,,4.633333333,118.58333329999999,122.42342620000001,,0.011000000000000001,,117833.33333333331,7.7,43571.0,829.8333333333335,15.785507865833333,0.024595696030906836,-0.021,2.7575,81.41666667,515.3,1081.465,,,1523.0,0.934759907,0.93664218,0.936883597,0.9427523720000001,Rochester
